"yr","country","beds","physicians","population","health_spend","mortality"
2024,"Korea, Rep.",124.3,0,51751065,0,0
2021,"Korea, Rep.",124.3,2.517,51769539,0,49.7825
2019,"Korea, Rep.",119.8,2.457,51764822,0,39.5455
2024,"Kuwait",20.4,0,4973861,0,0
2021,"Kuwait",20.4,0,4360865,0,49.512
2019,"Kuwait",20.4,0,4442316,0,45.6455
2024,"Kyrgyz Republic",44.1,0,7224614,0,0
2021,"Kyrgyz Republic",44.1,2.145,6851224,46324211624,189.1135
2019,"Kyrgyz Republic",44.1,2.168,6590211,33420700000,172.5615
2024,"Lao PDR",15,0,7769819,0,0
2021,"Lao PDR",15,0.327,7453194,0,174.677
2019,"Lao PDR",15,0.364,7237636,0,174.219
2024,"Latvia",54.9,0,1862441,0,0
2021,"Latvia",54.9,3.377,1884490,2565038000,0
2019,"Latvia",57.2,3.263,1913822,1584955000,147.5565
2024,"Lebanon",27.3,0,5805962,0,0
2021,"Lebanon",27.3,0,5718122,0,104.0735
2019,"Lebanon",27.3,2.617,5794594,0,65.882
2024,"Lithuania",64.3,0,2888055,0,0
2021,"Lithuania",64.3,4.497,2808380,6922859000,0
2019,"Lithuania",66.9,4.481,2811089,5245836000,137.102
2024,"Luxembourg",42.6,0,677717,0,0
2021,"Luxembourg",42.6,0,640064,7526516000,51.386
2019,"Luxembourg",46.6,0,620001,6093801000,52.507
2024,"North Macedonia",42.8,0,1792179,0,0
2021,"North Macedonia",42.8,0,1837114,0,101.105
2019,"North Macedonia",43.7,3.059,1876262,0,68.9675
2024,"Malawi",13,0,21655286,0,0
2021,"Malawi",13,0,20047258,0,325.1095
2019,"Malawi",13,0,19025752,0,306.2385
2024,"Malaysia",18.8,0,35557673,0,0
2021,"Malaysia",18.8,2.316,34282399,0,113.8085
2019,"Malaysia",16.2,2.06,33440596,0,111.3625
2024,"Mali",1,0,24478595,0,0
2021,"Mali",1,0,22388630,0,282.635
2019,"Mali",1,0,21068405,0,259.821
2024,"Malta",44.9,0,574346,0,0
2021,"Malta",44.9,4.276,518150,997924000,32.346
2019,"Malta",46.7,4.029,503912,732151000,37.686
2024,"Mauritius",34,0,1259509,0,0
2021,"Mauritius",34,0,1266334,15093700000,150.588
2019,"Mauritius",34,2.538,1265985,13148914357.6426,124.9315
2024,"Mexico",9.8,0,130861007,0,0
2021,"Mexico",9.8,2.559,127648148,0,209.6035
2019,"Mexico",10,2.474,125762982,0,152.4435
2024,"Moldova",56.6,0,2389275,0,0
2021,"Moldova",56.6,3.246,2595809,25242500000,207.318
2019,"Moldova",56.6,3.327,2664224,16296900000,178.8235
2024,"Mongolia",80,0,3524788,0,0
2021,"Mongolia",80,3.874,3383741,977673971184.68,183.8645
2019,"Mongolia",70,3.647,3267673,990148640062.4,177.066
2024,"Montenegro",38.6,0,623831,0,0
2021,"Montenegro",38.6,2.768,625053,0,102.0975
2019,"Montenegro",39.3,2.709,626753,0,96.319
2024,"Morocco",10,0,38081173,0,0
2021,"Morocco",10,0,36954442,0,106.3495
2019,"Morocco",11,0,36210898,0,106.5305
2024,"Nepal",3,0,29651054,0,0
2021,"Nepal",3,0.867,29475010,124962467030.47,185.9815
2019,"Nepal",3,0.803,28414064,0,170.418
2024,"Netherlands",31.7,0,17994237,0,0
2021,"Netherlands",31.7,3.906,17533044,1.38291e+11,57.4465
2019,"Netherlands",34.1,3.751,17344874,1.15596e+11,53.7115
2024,"New Zealand",25.7,0,5338500,0,0
2021,"New Zealand",25.7,3.516,5111300,25841561878.9496,63.4405
2019,"New Zealand",27.3,3.39,4979200,20845280000,66.6665
2024,"Nicaragua",9.3,0,6916140,0,0
2021,"Nicaragua",9.3,0,6644741,0,143.2845
2019,"Nicaragua",9.3,0,6483657,0,142.12
2024,"Nigeria",8,0,232679478,0,0
2021,"Nigeria",8,0.395,218529286,0,376.2795
2019,"Nigeria",8,0.367,209485641,0,363.719
2024,"Oman",14.7,0,5281538,0,0
2021,"Oman",14.7,1.997,4500424,0,114.8175
2019,"Oman",14.9,2.086,4591241,0,64.8425
2024,"Pakistan",6.3,0,251269164,0,0
2021,"Pakistan",6.3,0,239477801,0,183.124
2019,"Pakistan",6.3,1.084,230800899,0,171.218
2024,"Panama",22.5,0,4515577,0,0
2021,"Panama",22.5,1.734,4345405,0,123.1805
2019,"Panama",22.5,1.638,4234700,0,115.861
