"yr","country","beds","physicians","population","health_spend","mortality"
2021,"Chad",0,0.058,17.828273,0,387.7775
2022,"Chad",0,0.085,18.455316,0,383.1085
2020,"Chile",0,2.808,19.370624,0,87.3675
2022,"Chile",0,3.17,19.553036,0,90.9905
2020,"China",0,2.387,1411.1,7460357.31,82.425
2020,"Colombia",0,2.379,50.629997,0,126.74
2020,"Comoros",0,0.439,0.802163,0,224.591
2019,"Congo, Dem. Rep.",0,0.167,92.947442,0,269.8105
2021,"Congo, Dem. Rep.",0,0.177,99.148932,0,295.6085
2022,"Congo, Dem. Rep.",0,0.187,102.396968,0,289.0465
2022,"Congo, Rep.",0,0.175,6.035104,0,287.485
2020,"Costa Rica",0,2.451,5.03432,2186577.3277351,81.635
2022,"Costa Rica",0,2.636,5.081765,2687538,97.5915
2020,"Cote d'Ivoire",0,0.165,28.915449,0,342.679
2022,"Cote d'Ivoire",0,0.175,30.395002,0,347.88
2020,"Croatia",0,6.959,3.914206,7260.125,74.934
2019,"Cuba",0,8.589,11.202846,0,103.2425
2020,"Cuba",0,9.188,11.176354,0,101.889
2021,"Cuba",0,9.429,11.122168,0,140.837
2020,"Cyprus",0,3.364,1.302247,2022.5,55.2925
2020,"Czechia",0,4.16,10.697858,1009532,83.443
2020,"Denmark",0,4.381,5.831404,411376,57.5295
2020,"Dominican Republic",0,1.949,11.0083,0,150.6845
2022,"Dominican Republic",0,2.235,11.230734,0,140.774
2020,"Early-demographic dividend",0,0.998465558935349,3396.051187,0,172.16439111275
2020,"East Asia & Pacific",0,2.05962381656681,2369.438682,0,102.0669115645
2020,"East Asia & Pacific (IDA & IBRD)",0,1.96615076034968,2095.759417,0,106.73810111735
2020,"East Asia & Pacific (excluding high income)",0,1.98716273054109,2121.866294,0,107.20300337605
2020,"Ecuador",0,2.308,17.546065,0,163.7765
2020,"Egypt, Arab Rep.",0,0.683,109.315124,0,145.446
2022,"El Salvador",0,1.552,6.280319,3268,206.2485
2022,"Equatorial Guinea",0,0.143,1.803545,0,278.706
2019,"Eritrea",0,0.071,3.240194,0,202.4495
2020,"Eritrea",0,0.082,3.291271,0,203.139
2021,"Eritrea",0,0.079,3.350183,0,213.3695
2022,"Eritrea",0,0.071,3.409447,0,212.548
2020,"Estonia",0,3.48,1.329522,3737.1,0
2020,"Eswatini",0,0.14,1.192729,0,392.813
2022,"Eswatini",0,1.591,1.218917,0,457.785
2019,"Ethiopia",0,0.051,115.737383,0,213.5235
2020,"Ethiopia",0,0.104,118.917671,0,219.31
2021,"Ethiopia",0,0.101,122.138588,0,227.1835
2022,"Ethiopia",0,0.108,125.384287,0,219.3955
2020,"Euro area",0,4.23225293185916,346.986142,0,62.89847244545
2020,"Europe & Central Asia",0,3.68423718519582,923.973838,0,94.9732418791
2020,"Europe & Central Asia (IDA & IBRD)",0,3.2425107501823,463.151657,0,0
2020,"Europe & Central Asia (excluding high income)",0,2.71782043003932,250.660609,0,144.39654639875
2020,"European Union",0,4.12265415236348,446.870959,0,68.59304379935
2020,"Finland",0,3.611,5.529543,35701,67.129
2020,"Fragile and conflict affected situations",0,0.399781519275678,994.90109,0,260.96084571015
2020,"France",0,3.323,67.60111,406052,69.8995
2019,"Gabon",0,0.61,2.267706,0,229.7835
2020,"Gabon",0,0.594,2.322539,0,225.87
2022,"Gabon",0,0.477,2.430747,0,240.526
2019,"Gambia, The",0,0.075,2.456844,0,247.1325
2020,"Gambia, The",0,0.076,2.515733,0,266.209
2021,"Gambia, The",0,0.102,2.57601,0,278.466
2020,"Georgia",0,5.161,3.722716,1882.1,151.802
2022,"Georgia",0,5.613,3.712502,2224.8,169.7355
2020,"Germany",0,4.459,83.160871,574522,65.6
2020,"Ghana",0,0.164,31.887809,0,245.6555
2022,"Ghana",0,0.141,33.149152,0,250.5655
2020,"Greece",0,6.296,10.698599,16471,68.4905
2020,"Guatemala",0,1.28,17.357325,19521.0363007,187.0275
2022,"Guinea",0,0.021,14.055137,0,282.426
